review_id,hostel_id,review_text,sentiment,rating
1,1,Food quality is decent.,Neutral,3.8
2,1,Very clean rooms and friendly owner.,Positive,4.4
3,1,Food quality is decent.,Neutral,4.6
4,1,Affordable hostel with good WiFi.,Positive,3.1
5,1,Peaceful environment for study.,Positive,4.7
6,1,Bathrooms need improvement.,Negative,4.5
7,1,Affordable hostel with good WiFi.,Positive,3.2
8,2,Affordable hostel with good WiFi.,Positive,3.2
9,2,Very clean rooms and friendly owner.,Positive,4.7
10,2,Affordable hostel with good WiFi.,Positive,3.3
11,2,Peaceful environment for study.,Positive,3.7
12,2,Good value for money.,Positive,4.9
13,2,Very clean rooms and friendly owner.,Positive,4.2
14,3,Very clean rooms and friendly owner.,Positive,3.0
15,3,Very clean rooms and friendly owner.,Positive,3.4
16,3,Good value for money.,Positive,3.9
17,3,Affordable hostel with good WiFi.,Positive,3.2
18,3,Food quality is decent.,Neutral,3.2
19,3,Peaceful environment for study.,Positive,3.1
20,3,Bathrooms need improvement.,Negative,3.9
21,3,Good value for money.,Positive,3.8
22,4,Peaceful environment for study.,Positive,4.4
23,4,Affordable hostel with good WiFi.,Positive,3.7
24,4,Affordable hostel with good WiFi.,Positive,3.5
25,4,Peaceful environment for study.,Positive,4.8
26,4,Very clean rooms and friendly owner.,Positive,4.2
27,4,Bathrooms need improvement.,Negative,3.5
28,5,Peaceful environment for study.,Positive,3.8
29,5,Bathrooms need improvement.,Negative,4.0
30,5,Very clean rooms and friendly owner.,Positive,3.6
31,5,Affordable hostel with good WiFi.,Positive,3.8
32,5,Good value for money.,Positive,4.8
33,5,Bathrooms need improvement.,Negative,3.5
34,5,Bathrooms need improvement.,Negative,4.6
35,5,Peaceful environment for study.,Positive,4.6
36,6,Peaceful environment for study.,Positive,4.1
37,6,Peaceful environment for study.,Positive,3.7
38,6,Bathrooms need improvement.,Negative,4.0
39,6,Peaceful environment for study.,Positive,3.5
40,6,Very clean rooms and friendly owner.,Positive,3.6
41,6,Affordable hostel with good WiFi.,Positive,3.1
42,6,Food quality is decent.,Neutral,3.1
43,6,Peaceful environment for study.,Positive,4.1
44,7,Affordable hostel with good WiFi.,Positive,4.9
45,7,Very clean rooms and friendly owner.,Positive,3.5
46,7,Affordable hostel with good WiFi.,Positive,3.5
47,7,Good value for money.,Positive,3.1
48,7,Affordable hostel with good WiFi.,Positive,4.2
49,7,Peaceful environment for study.,Positive,3.7
50,7,Affordable hostel with good WiFi.,Positive,3.4
51,7,Bathrooms need improvement.,Negative,3.6
52,7,Good value for money.,Positive,4.4
53,7,Bathrooms need improvement.,Negative,3.1
54,8,Bathrooms need improvement.,Negative,4.1
55,8,Bathrooms need improvement.,Negative,4.9
56,8,Peaceful environment for study.,Positive,4.1
57,8,Affordable hostel with good WiFi.,Positive,4.0
58,8,Very clean rooms and friendly owner.,Positive,3.1
59,8,Bathrooms need improvement.,Negative,3.4
60,8,Bathrooms need improvement.,Negative,4.0
61,8,Food quality is decent.,Neutral,4.8
62,9,Affordable hostel with good WiFi.,Positive,3.7
63,9,Affordable hostel with good WiFi.,Positive,4.8
64,9,Food quality is decent.,Neutral,3.1
65,9,Affordable hostel with good WiFi.,Positive,4.2
66,9,Affordable hostel with good WiFi.,Positive,4.5
67,9,Bathrooms need improvement.,Negative,4.7
68,9,Very clean rooms and friendly owner.,Positive,3.7
69,10,Bathrooms need improvement.,Negative,3.2
70,10,Food quality is decent.,Neutral,3.6
71,10,Affordable hostel with good WiFi.,Positive,4.5
72,10,Peaceful environment for study.,Positive,4.6
73,10,Peaceful environment for study.,Positive,4.3
74,10,Affordable hostel with good WiFi.,Positive,4.4
75,10,Bathrooms need improvement.,Negative,4.4
76,10,Bathrooms need improvement.,Negative,4.6
77,10,Affordable hostel with good WiFi.,Positive,4.3
78,11,Peaceful environment for study.,Positive,3.6
79,11,Good value for money.,Positive,3.6
80,11,Affordable hostel with good WiFi.,Positive,4.5
81,11,Good value for money.,Positive,4.9
82,11,Peaceful environment for study.,Positive,4.7
83,11,Bathrooms need improvement.,Negative,3.1
84,11,Bathrooms need improvement.,Negative,3.6
85,12,Affordable hostel with good WiFi.,Positive,4.3
86,12,Very clean rooms and friendly owner.,Positive,4.9
87,12,Affordable hostel with good WiFi.,Positive,3.7
88,12,Very clean rooms and friendly owner.,Positive,3.5
89,12,Food quality is decent.,Neutral,3.3
90,12,Very clean rooms and friendly owner.,Positive,4.6
91,12,Good value for money.,Positive,4.3
92,12,Food quality is decent.,Neutral,3.9
93,12,Food quality is decent.,Neutral,3.4
94,12,Good value for money.,Positive,3.1
95,13,Very clean rooms and friendly owner.,Positive,4.4
96,13,Very clean rooms and friendly owner.,Positive,3.8
97,13,Good value for money.,Positive,3.8
98,13,Affordable hostel with good WiFi.,Positive,4.8
99,13,Peaceful environment for study.,Positive,4.8
100,13,Food quality is decent.,Neutral,4.1
101,13,Very clean rooms and friendly owner.,Positive,4.7
102,13,Bathrooms need improvement.,Negative,4.3
103,14,Affordable hostel with good WiFi.,Positive,3.9
104,14,Very clean rooms and friendly owner.,Positive,3.6
105,14,Food quality is decent.,Neutral,3.5
106,14,Very clean rooms and friendly owner.,Positive,3.1
107,14,Affordable hostel with good WiFi.,Positive,4.8
108,14,Affordable hostel with good WiFi.,Positive,4.5
109,14,Bathrooms need improvement.,Negative,4.9
110,15,Food quality is decent.,Neutral,4.2
111,15,Bathrooms need improvement.,Negative,4.8
112,15,Good value for money.,Positive,3.1
113,15,Good value for money.,Positive,3.3
114,15,Peaceful environment for study.,Positive,3.3
115,15,Very clean rooms and friendly owner.,Positive,3.7
116,16,Peaceful environment for study.,Positive,4.4
117,16,Good value for money.,Positive,4.9
118,16,Bathrooms need improvement.,Negative,3.5
119,16,Food quality is decent.,Neutral,3.6
120,16,Very clean rooms and friendly owner.,Positive,3.1
121,16,Bathrooms need improvement.,Negative,4.1
122,16,Peaceful environment for study.,Positive,3.3
123,17,Very clean rooms and friendly owner.,Positive,3.9
124,17,Food quality is decent.,Neutral,4.6
125,17,Good value for money.,Positive,4.2
126,17,Affordable hostel with good WiFi.,Positive,3.2
127,17,Affordable hostel with good WiFi.,Positive,3.3
128,17,Food quality is decent.,Neutral,5.0
129,17,Peaceful environment for study.,Positive,4.7
130,17,Food quality is decent.,Neutral,4.6
131,18,Peaceful environment for study.,Positive,4.8
132,18,Food quality is decent.,Neutral,3.2
133,18,Bathrooms need improvement.,Negative,3.8
134,18,Food quality is decent.,Neutral,4.8
135,18,Food quality is decent.,Neutral,3.4
136,18,Very clean rooms and friendly owner.,Positive,3.5
137,18,Peaceful environment for study.,Positive,3.5
138,18,Food quality is decent.,Neutral,4.1
139,18,Affordable hostel with good WiFi.,Positive,4.5
140,19,Very clean rooms and friendly owner.,Positive,4.3
141,19,Bathrooms need improvement.,Negative,3.8
142,19,Bathrooms need improvement.,Negative,3.5
143,19,Very clean rooms and friendly owner.,Positive,4.7
144,19,Bathrooms need improvement.,Negative,3.8
145,19,Bathrooms need improvement.,Negative,4.4
146,20,Bathrooms need improvement.,Negative,4.8
147,20,Peaceful environment for study.,Positive,3.6
148,20,Peaceful environment for study.,Positive,4.8
149,20,Good value for money.,Positive,3.1
150,20,Bathrooms need improvement.,Negative,4.8
151,20,Bathrooms need improvement.,Negative,4.4
152,20,Bathrooms need improvement.,Negative,3.3
153,20,Peaceful environment for study.,Positive,3.3
154,20,Affordable hostel with good WiFi.,Positive,4.9
155,21,Affordable hostel with good WiFi.,Positive,3.1
156,21,Very clean rooms and friendly owner.,Positive,5.0
157,21,Peaceful environment for study.,Positive,3.4
158,21,Good value for money.,Positive,3.3
159,21,Bathrooms need improvement.,Negative,3.5
160,21,Good value for money.,Positive,4.8
161,21,Very clean rooms and friendly owner.,Positive,3.2
162,22,Peaceful environment for study.,Positive,4.1
163,22,Food quality is decent.,Neutral,4.0
164,22,Very clean rooms and friendly owner.,Positive,4.6
165,22,Bathrooms need improvement.,Negative,4.2
166,22,Peaceful environment for study.,Positive,3.2
167,22,Affordable hostel with good WiFi.,Positive,3.3
168,22,Bathrooms need improvement.,Negative,4.2
169,22,Very clean rooms and friendly owner.,Positive,4.8
170,22,Bathrooms need improvement.,Negative,4.6
171,22,Food quality is decent.,Neutral,4.7
172,23,Peaceful environment for study.,Positive,3.5
173,23,Good value for money.,Positive,4.0
174,23,Bathrooms need improvement.,Negative,3.9
175,23,Affordable hostel with good WiFi.,Positive,3.6
176,23,Affordable hostel with good WiFi.,Positive,4.2
177,23,Good value for money.,Positive,4.4
178,23,Very clean rooms and friendly owner.,Positive,3.8
179,23,Food quality is decent.,Neutral,4.4
180,24,Good value for money.,Positive,4.0
181,24,Food quality is decent.,Neutral,4.8
182,24,Very clean rooms and friendly owner.,Positive,3.7
183,24,Food quality is decent.,Neutral,3.6
184,24,Peaceful environment for study.,Positive,4.7
185,24,Good value for money.,Positive,3.2
186,25,Affordable hostel with good WiFi.,Positive,3.6
187,25,Good value for money.,Positive,3.9
188,25,Food quality is decent.,Neutral,3.5
189,25,Peaceful environment for study.,Positive,4.2
190,25,Very clean rooms and friendly owner.,Positive,3.4
191,25,Affordable hostel with good WiFi.,Positive,4.8
192,25,Peaceful environment for study.,Positive,4.5
193,26,Food quality is decent.,Neutral,4.6
194,26,Bathrooms need improvement.,Negative,4.6
195,26,Very clean rooms and friendly owner.,Positive,3.6
196,26,Bathrooms need improvement.,Negative,3.8
197,26,Bathrooms need improvement.,Negative,4.8
198,26,Very clean rooms and friendly owner.,Positive,3.3
199,26,Affordable hostel with good WiFi.,Positive,4.7
200,26,Affordable hostel with good WiFi.,Positive,3.1
201,26,Very clean rooms and friendly owner.,Positive,4.8
202,26,Good value for money.,Positive,3.4
203,27,Peaceful environment for study.,Positive,4.0
204,27,Good value for money.,Positive,4.8
205,27,Good value for money.,Positive,3.1
206,27,Food quality is decent.,Neutral,4.0
207,27,Peaceful environment for study.,Positive,3.4
208,27,Peaceful environment for study.,Positive,4.2
209,27,Food quality is decent.,Neutral,3.7
210,27,Food quality is decent.,Neutral,4.5
211,28,Food quality is decent.,Neutral,3.1
212,28,Very clean rooms and friendly owner.,Positive,3.3
213,28,Bathrooms need improvement.,Negative,4.6
214,28,Affordable hostel with good WiFi.,Positive,4.7
215,28,Good value for money.,Positive,3.5
216,28,Affordable hostel with good WiFi.,Positive,3.5
217,29,Bathrooms need improvement.,Negative,3.0
218,29,Good value for money.,Positive,3.0
219,29,Affordable hostel with good WiFi.,Positive,4.3
220,29,Bathrooms need improvement.,Negative,4.6
221,29,Affordable hostel with good WiFi.,Positive,3.5
222,29,Food quality is decent.,Neutral,4.4
223,29,Good value for money.,Positive,4.3
224,29,Peaceful environment for study.,Positive,4.8
225,29,Food quality is decent.,Neutral,3.9
226,30,Peaceful environment for study.,Positive,3.6
227,30,Bathrooms need improvement.,Negative,4.6
228,30,Peaceful environment for study.,Positive,4.2
229,30,Very clean rooms and friendly owner.,Positive,4.0
230,30,Good value for money.,Positive,4.9
231,30,Food quality is decent.,Neutral,4.1
232,30,Bathrooms need improvement.,Negative,4.2
233,31,Good value for money.,Positive,3.2
234,31,Very clean rooms and friendly owner.,Positive,3.7
235,31,Food quality is decent.,Neutral,4.3
236,31,Food quality is decent.,Neutral,3.5
237,31,Good value for money.,Positive,4.9
238,31,Good value for money.,Positive,3.6
239,31,Affordable hostel with good WiFi.,Positive,4.0
240,31,Affordable hostel with good WiFi.,Positive,4.8
241,32,Peaceful environment for study.,Positive,4.3
242,32,Good value for money.,Positive,3.3
243,32,Very clean rooms and friendly owner.,Positive,4.3
244,32,Food quality is decent.,Neutral,3.5
245,32,Peaceful environment for study.,Positive,3.8
246,32,Good value for money.,Positive,3.1
247,32,Good value for money.,Positive,5.0
248,32,Affordable hostel with good WiFi.,Positive,3.7
249,32,Good value for money.,Positive,3.4
250,32,Bathrooms need improvement.,Negative,4.3
251,33,Good value for money.,Positive,3.7
252,33,Food quality is decent.,Neutral,4.7
253,33,Good value for money.,Positive,4.8
254,33,Affordable hostel with good WiFi.,Positive,3.6
255,33,Peaceful environment for study.,Positive,3.3
256,33,Food quality is decent.,Neutral,4.5
257,33,Bathrooms need improvement.,Negative,4.5
258,33,Affordable hostel with good WiFi.,Positive,4.9
259,33,Food quality is decent.,Neutral,4.3
260,34,Food quality is decent.,Neutral,3.4
261,34,Food quality is decent.,Neutral,3.8
262,34,Food quality is decent.,Neutral,3.7
263,34,Bathrooms need improvement.,Negative,3.6
264,34,Very clean rooms and friendly owner.,Positive,3.9
265,34,Good value for money.,Positive,4.2
266,34,Bathrooms need improvement.,Negative,3.1
267,35,Bathrooms need improvement.,Negative,3.2
268,35,Good value for money.,Positive,3.8
269,35,Food quality is decent.,Neutral,3.8
270,35,Affordable hostel with good WiFi.,Positive,3.3
271,35,Affordable hostel with good WiFi.,Positive,3.7
272,35,Bathrooms need improvement.,Negative,4.8
273,35,Peaceful environment for study.,Positive,3.3
274,36,Very clean rooms and friendly owner.,Positive,4.0
275,36,Good value for money.,Positive,5.0
276,36,Food quality is decent.,Neutral,4.3
277,36,Very clean rooms and friendly owner.,Positive,3.9
278,36,Affordable hostel with good WiFi.,Positive,4.5
279,36,Affordable hostel with good WiFi.,Positive,4.2
280,36,Affordable hostel with good WiFi.,Positive,4.0
281,37,Affordable hostel with good WiFi.,Positive,4.2
282,37,Good value for money.,Positive,3.9
283,37,Peaceful environment for study.,Positive,4.9
284,37,Peaceful environment for study.,Positive,3.0
285,37,Bathrooms need improvement.,Negative,3.4
286,37,Food quality is decent.,Neutral,4.9
287,38,Bathrooms need improvement.,Negative,3.4
288,38,Good value for money.,Positive,3.0
289,38,Good value for money.,Positive,3.5
290,38,Good value for money.,Positive,4.8
291,38,Food quality is decent.,Neutral,3.3
292,38,Peaceful environment for study.,Positive,4.0
293,38,Food quality is decent.,Neutral,3.3
294,38,Very clean rooms and friendly owner.,Positive,3.6
295,39,Peaceful environment for study.,Positive,4.5
296,39,Bathrooms need improvement.,Negative,4.0
297,39,Peaceful environment for study.,Positive,4.8
298,39,Affordable hostel with good WiFi.,Positive,3.7
299,39,Peaceful environment for study.,Positive,3.7
300,39,Affordable hostel with good WiFi.,Positive,3.3
301,39,Peaceful environment for study.,Positive,3.0
302,39,Affordable hostel with good WiFi.,Positive,4.5
303,40,Affordable hostel with good WiFi.,Positive,4.5
304,40,Bathrooms need improvement.,Negative,4.0
305,40,Very clean rooms and friendly owner.,Positive,3.7
306,40,Good value for money.,Positive,4.6
307,40,Peaceful environment for study.,Positive,4.8
308,40,Food quality is decent.,Neutral,4.5
309,40,Bathrooms need improvement.,Negative,3.1
310,41,Good value for money.,Positive,3.2
311,41,Very clean rooms and friendly owner.,Positive,3.1
312,41,Very clean rooms and friendly owner.,Positive,3.8
313,41,Peaceful environment for study.,Positive,3.2
314,41,Food quality is decent.,Neutral,3.9
315,41,Affordable hostel with good WiFi.,Positive,3.4
316,42,Food quality is decent.,Neutral,3.8
317,42,Very clean rooms and friendly owner.,Positive,4.3
318,42,Food quality is decent.,Neutral,4.2
319,42,Good value for money.,Positive,3.3
320,42,Very clean rooms and friendly owner.,Positive,4.0
321,42,Bathrooms need improvement.,Negative,3.2
322,43,Very clean rooms and friendly owner.,Positive,4.0
323,43,Bathrooms need improvement.,Negative,3.4
324,43,Food quality is decent.,Neutral,4.7
